rankOfMeld1,isRun1,isRank1,length1,rankOfMeld2,isRun2,isRank2,length2,rankOfMeld3,isRun3,isRank3,length3,selfDeadwoodPoints,numTurn,multiOppScore,finalScore
2.0,1.0,0.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,16.0,22.936219316282987,6.0
2.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,17.0,3.2234209832736265,-26.0
2.0,1.0,0.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,19.0,7.229932619439072,3.0
5.0,0.0,1.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,21.0,17.676891206309207,3.0
5.0,0.0,1.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,23.0,7.331971717802109,3.0
5.0,0.0,1.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,25.0,21.77436335996425,-27.0
2.0,1.0,0.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,27.0,23.53452323391557,-27.0
3.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,5.0,10.0,37.54545454545454,35.0
3.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,5.0,12.0,30.27272727272728,10.0
3.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,5.0,14.0,20.636363636363637,3.0
5.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,17.0,5.204500455740871,6.0
5.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,19.0,7.3711668883085055,2.0
5.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,21.0,32.822246237063965,-25.0
