playerID,opponentID,gameID,roundID,numSelfTurnsToKnock,numOppTurnsToKnock,numSelfFaceUpCardsDrawn,numOppFaceUpCardsDrawn,numSelfMeldsAtKnock,numSelfRunMeldsAtKnock,numSelfRankMeldsAtKnock,numOppMeldsAtKnock,numOppRunMeldsAtKnock,numOppRankMeldsAtKnock
0,1,34,247,12,0,2,2,3,2,1,2,1,1
0,1,34,248,8,0,2,2,2,2,0,2,0,2
0,1,34,249,10,0,0,0,2,1,1,2,0,2
0,1,34,250,0,7,1,3,2,2,0,3,1,2
0,1,35,251,9,0,0,3,2,1,1,2,1,1
0,1,35,252,6,0,0,0,2,0,2,0,0,0
0,1,35,253,8,0,0,0,3,2,1,3,1,2
0,1,35,254,3,0,2,0,2,1,1,0,0,0
0,1,35,255,0,13,0,2,2,0,2,3,1,2
0,1,35,256,11,0,3,1,2,2,0,2,2,0
0,1,35,257,11,0,0,2,3,0,3,3,0,3
0,1,35,258,2,0,2,0,2,1,1,1,0,1
0,1,36,259,4,0,0,0,2,0,2,0,0,0
0,1,36,260,11,0,2,0,2,2,0,2,1,1
0,1,36,261,8,0,1,2,2,0,2,2,1,1
0,1,36,262,11,0,1,1,3,2,1,2,2,0
0,1,36,263,6,0,0,2,2,1,1,2,2,0
0,1,36,264,6,0,0,1,2,0,2,2,1,1
0,1,37,265,5,0,2,1,2,0,2,1,0,1
0,1,37,266,11,0,0,1,2,1,1,1,0,1
0,1,37,267,11,0,1,0,2,1,1,2,1,1
0,1,37,268,6,0,2,1,2,2,0,1,1,0
0,1,37,269,6,0,2,1,3,1,2,1,1,0
0,1,37,270,4,0,2,1,2,0,2,1,1,0
0,1,37,271,0,9,1,1,2,1,1,3,1,2
0,1,37,272,10,0,1,0,2,1,1,1,0,1
0,1,37,273,7,0,2,0,2,2,0,2,2,0
0,1,37,274,9,0,0,0,2,1,1,2,2,0
0,1,38,275,11,0,0,0,2,0,2,2,0,2
0,1,38,276,9,0,0,0,2,0,2,1,1,0
0,1,38,277,10,0,1,3,3,0,3,1,1,0
0,1,38,278,7,0,2,0,2,1,1,1,0,1
0,1,38,279,0,5,0,2,1,1,0,3,0,3
0,1,39,280,8,0,0,3,2,1,1,2,0,2
0,1,39,281,12,0,1,4,2,0,2,2,2,0
0,1,39,282,7,0,3,0,2,0,2,2,0,2
0,1,39,283,3,0,1,0,2,1,1,0,0,0
0,1,39,284,9,0,1,1,2,2,0,2,2,0
0,1,39,285,6,0,3,0,2,1,1,1,0,1
0,1,39,286,9,0,0,2,2,0,2,2,0,2
0,1,40,287,9,0,0,2,2,1,1,2,0,2
0,1,40,288,9,0,2,0,2,2,0,2,1,1
0,1,40,289,9,0,2,0,2,1,1,1,0,1
0,1,40,290,5,0,0,2,2,1,1,1,0,1
0,1,40,291,8,0,1,2,2,0,2,3,1,2
0,1,40,292,4,0,0,0,2,2,0,0,0,0
0,1,41,293,11,0,1,0,3,1,2,2,2,0
0,1,41,294,9,0,3,2,2,2,0,2,0,2
0,1,41,295,5,0,1,0,2,1,1,1,1,0
0,1,41,296,7,0,1,3,2,1,1,2,0,2
0,1,41,297,8,0,0,0,3,2,1,2,2,0
0,1,41,298,12,0,2,2,2,1,1,2,2,0
0,1,41,299,6,0,2,2,3,2,1,2,0,2
0,1,41,300,7,0,3,0,2,0,2,2,0,2
0,1,41,301,9,0,2,2,2,0,2,3,1,2
0,1,42,302,11,0,1,0,2,1,1,1,0,1
0,1,42,303,5,0,2,0,2,1,1,1,0,1
0,1,42,304,11,0,2,2,2,1,1,2,0,2
0,1,42,305,5,0,1,0,2,1,1,1,1,0
0,1,42,306,10,0,2,1,2,0,2,2,1,1
0,1,43,307,11,0,2,0,2,1,1,2,0,2
0,1,43,308,9,0,2,0,2,0,2,2,2,0
0,1,43,309,7,0,0,0,2,1,1,1,0,1
0,1,43,310,10,0,2,0,2,1,1,2,1,1
0,1,43,311,8,0,2,2,1,1,0,2,1,1
0,1,43,312,4,0,1,0,3,1,2,1,0,1
0,1,43,313,11,0,0,1,2,1,1,1,1,0
0,1,44,314,9,0,2,0,2,0,2,2,0,2
0,1,44,315,9,0,1,1,3,2,1,3,2,1
0,1,44,316,13,0,2,0,2,2,0,2,2,0
0,1,44,317,3,0,1,0,2,2,0,1,0,1
0,1,44,318,5,0,3,1,3,2,1,1,1,0
0,1,44,319,8,0,1,1,3,1,2,2,2,0
0,1,44,320,8,0,2,0,3,0,3,3,2,1
0,1,45,321,8,0,2,0,3,1,2,2,1,1
0,1,45,322,15,0,2,1,2,2,0,2,1,1
0,1,45,323,3,0,0,0,3,0,3,0,0,0
0,1,45,324,11,0,1,2,1,1,0,3,2,1
0,1,45,325,7,0,3,1,1,1,0,2,1,1
0,1,45,326,6,0,0,0,3,2,1,1,0,1
0,1,45,327,8,0,3,3,2,0,2,2,1,1
0,1,46,328,13,0,1,1,2,1,1,3,0,3
0,1,46,329,5,0,0,0,2,2,0,1,1,0
0,1,46,330,8,0,3,4,2,2,0,2,1,1
0,1,46,331,9,0,2,1,2,0,2,2,0,2
0,1,46,332,10,0,2,1,2,0,2,2,0,2
0,1,46,333,7,0,2,0,2,2,0,2,1,1
0,1,47,334,9,0,2,0,2,0,2,1,0,1
0,1,47,335,7,0,2,2,2,1,1,2,1,1
0,1,47,336,5,0,0,0,3,1,2,0,0,0
0,1,47,337,15,0,4,2,2,1,1,2,1,1
0,1,47,338,8,0,1,0,2,1,1,3,2,1
0,1,47,339,13,0,1,1,2,0,2,2,0,2
0,1,47,340,4,0,1,0,2,1,1,1,0,1
0,1,48,341,9,0,1,0,2,1,1,2,0,2
0,1,48,342,9,0,1,1,3,1,2,1,1,0
0,1,48,343,17,0,2,2,2,0,2,2,1,1
0,1,48,344,11,0,1,1,1,1,0,2,1,1
0,1,48,345,5,0,2,0,2,1,1,1,0,1
0,1,48,346,12,0,3,0,2,2,0,2,2,0
0,1,48,347,6,0,1,0,2,1,1,1,1,0
0,1,48,348,2,0,1,0,2,1,1,2,1,1
0,1,48,349,6,0,2,2,2,0,2,2,0,2
0,1,49,350,16,0,3,1,3,1,2,2,1,1
0,1,49,351,6,0,1,0,2,0,2,1,1,0
0,1,49,352,0,9,0,0,1,0,1,3,1,2
0,1,49,353,11,0,0,3,2,1,1,2,1,1
0,1,49,354,8,0,2,2,2,1,1,2,0,2
0,1,49,355,9,0,1,2,2,1,1,2,1,1
